id,category_id,detail,lat,lng,place,region
KCLANPO22N000019327,CT4,지역관광지,35.77174144,127.4145772,북부예술관광단지  ,전라북도
KCLANPO22N000019328,CT4,지역관광지,37.12494684,129.1560282,덕풍계곡마을  ,강원도
KCLANPO22N000019329,CT4,지역관광지,36.16082,128.0701901,봉계율수재  ,경상북도
KCLANPO22N000019330,CT4,지역관광지,35.58723396,126.5138358,모항갯벌체험장  ,전라북도
KCLANPO22N000019331,CT4,지역관광지,37.56707128,126.9857056,을지로한빛거리  ,서울특별시
KCLANPO22N000019332,CT4,지역관광지,36.03422563,126.8743923,아홉마디풀향기마을  ,전라북도
KCLANPO22N000019333,CT4,지역관광지,37.56236636,127.0961952,아차산올레길 긴고랑길,서울특별시
KCLANPO22N000019334,CT4,지역관광지,36.07953116,126.866201,잔디블럭광장  ,충청남도
KCLANPO22N000019335,CT4,지역관광지,35.59058232,128.3616227,창녕합천보문화관  ,경상남도
KCLANPO22N000019336,CT4,지역관광지,37.69354781,127.0393544,북한산둘레길 18구간,서울특별시
KCLANPO22N000019337,CT4,지역관광지,34.7723449,127.7468332,여수해양레일바이크  ,전라남도
KCLANPO22N000019338,CT4,지역관광지,33.46433128,126.836623,레일바이크  ,제주특별자치도
KCLANPO22N000019339,CT4,지역관광지,34.73061803,127.7416034,여수해상케이블카돌산탑승장  ,전라남도
KCLANPO22N000019340,CT4,지역관광지,36.62760646,127.0835853,소랭이활성화센터체험관  ,충청남도
KCLANPO22N000019341,CT4,지역관광지,34.59389166,127.8047272,향일암일출광장  ,전라남도
KCLANPO22N000019342,CT4,지역관광지,36.57664363,126.4643561,속동전망대  ,충청남도
KCLANPO22N000019343,CT4,지역관광지,35.52988409,129.2175558,문수산전망대  ,울산광역시
KCLANPO22N000019344,CT4,지역관광지,37.89057746,126.7396654,평화의종  ,경기도
KCLANPO22N000019345,CT4,지역관광지,35.17214677,127.7175871,하동군판소리체험관  ,경상남도
KCLANPO22N000019346,CT4,지역관광지,37.56970106,127.0451497,성동구자전거체험장  ,서울특별시
